year,month,nominal_fah,nominal_fafh,nominal_total,const_fah,const_fafh,const_total
2020,September,"69,259.49","60,078.21","129,337.70","32,126.30","24,634.85","56,785.23"
2020,August,"72,560.26","62,032.72","134,592.98","33,526.28","25,577.74","59,110.99"
2020,July,"74,042.47","60,525.73","134,568.20","34,182.55","25,027.36","59,147.58"
2020,June,"71,237.63","57,263.14","128,500.77","32,567.99","23,789.72","56,290.84"
2020,May,"74,602.39","48,186.15","122,788.54","34,269.53","20,122.35","54,055.24"
2020,April,"69,155.58","35,462.21","104,617.80","32,033.76","14,863.40","46,346.34"
2020,March,"79,288.34","53,812.43","133,100.77","37,709.22","22,587.47","59,873.25"
2020,February,"62,943.08","67,598.46","130,541.54","30,071.51","28,416.67","58,908.59"
2020,January,"65,183.07","66,964.80","132,147.86","31,262.60","28,212.99","59,820.55"
2019,December,"74,025.79","71,959.02","145,984.81","35,703.41","30,428.56","66,398.11"
2019,November,"69,221.99","68,857.09","138,079.08","33,389.79","29,200.22","62,888.52"
2019,October,"66,903.67","71,333.18","138,236.84","32,189.75","30,299.06","62,920.36"
2019,September,"63,678.10","69,286.88","132,964.98","30,738.89","29,485.73","60,681.84"
2019,August,"68,755.84","75,155.61","143,911.44","33,243.68","32,065.78","65,812.98"
2019,July,"67,592.74","74,027.73","141,620.48","32,653.39","31,652.60","64,799.41"
2019,June,"66,213.62","73,882.90","140,096.52","31,980.75","31,654.31","64,154.26"
2019,May,"68,463.46","75,125.82","143,589.28","32,966.58","32,291.31","65,741.99"
2019,April,"64,456.27","70,557.46","135,013.73","31,071.25","30,391.43","61,912.12"
2019,March,"65,750.93","73,170.11","138,921.05","31,606.82","31,618.51","63,699.91"
2019,February,"58,494.40","63,665.80","122,160.20","28,176.36","27,561.70","56,123.83"
2019,January,"63,625.74","64,079.66","127,705.39","30,733.85","27,839.14","58,855.63"
2018,December,"72,338.45","69,603.06","141,941.52","35,145.04","30,342.91","65,726.02"
2018,November,"67,225.90","65,455.28","132,681.19","32,748.06","28,649.04","61,638.73"
2018,October,"64,925.77","68,162.45","133,088.22","31,557.77","29,919.43","61,832.93"
2018,September,"62,697.28","66,498.37","129,195.65","30,443.86","29,216.08","60,016.18"
2018,August,"65,978.62","71,923.17","137,901.80","32,052.03","31,669.40","64,140.18"
2018,July,"64,933.14","71,400.53","136,333.67","31,570.02","31,499.05","63,493.54"
2018,June,"64,641.84","71,431.82","136,073.66","31,515.67","31,549.25","63,501.32"
2018,May,"66,346.01","71,571.31","137,917.31","32,329.45","31,668.51","64,395.52"
